id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
189251,13093,Choice of Robots,"The robots you design will change the world! Will you show them the true meaning of love, or conquer Alaska with your robot army?

Play out thirty years of your life as a brilliant robot maker, from graduate school near the present day to a future in which your robots have changed everything. Depending on your choices, your robots may be independent or obedient, clumsy or graceful, empathic or cold... and you yourself may live to an old age happily married or alone with only robots to comfort you.",2014-12-18 00:00:00.000,1,NULL,60.0000,1,96.6338,7
3689,11885,Action Fighter,NULL,1986-08-17 00:00:00.000,1,NULL,NULL,NULL,96.6304,10
3449,11374,Creatures,NULL,1990-12-31 00:00:00.000,2,NULL,NULL,NULL,96.6246,8
195548,26472,Disco Elysium,NULL,2019-10-15 00:00:00.000,59,12,89.1250,8,96.5129,340
174390,55077,Beast Battle Simulator,NULL,2017-08-23 00:00:00.000,39,NULL,NULL,NULL,96.4117,13
174401,140204,BroodStar,"BroodStar is a classic arcade shoot’em up with heavy roguelike elements. Careful, though... the vastness of space contains many formidable enemies. If you fall along the way, you have to start over — the only thing you’ll bring with you are the upgrade modules you collected in your past runs, in the form of research points that augment your ship. Will they be enough to get you through hordes of unknown creatures and monstrous bosses, and fulfill your quest of defeating the living planet — the BroodStar?",2020-09-30 00:00:00.000,4,1,NULL,NULL,96.3636,10
164935,98753,My Grandfather's Farm,NULL,2018-08-30 00:00:00.000,9,NULL,NULL,NULL,96.3412,20
164758,11650,NHL 96,NULL,1995-09-01 00:00:00.000,NULL,NULL,NULL,NULL,96.2421,9
186977,7194,Steins;Gate,"The story of Steins;Gate takes place in Akihabara and is about a group of friends who have customized their microwave into a device that can send text messages to the past. As they perform different experiments, an organization named SERN who has been doing their own research on time travel tracks them down and now the characters have to find a way to avoid being captured by them.",2009-10-15 00:00:00.000,38,NULL,80.0000,4,96.2309,97
190788,12987,System Shock: Enhanced Edition,NULL,2015-09-22 00:00:00.000,9,NULL,89.0000,3,96.2187,17
166530,27844,The Elder Scrolls IV: Oblivion - Game of the Year Edition Deluxe,NULL,2009-06-16 00:00:00.000,3,NULL,NULL,NULL,96.1448,14
158098,55322,Pathologic 2,NULL,2019-05-23 00:00:00.000,19,4,63.2000,5,96.0990,45
194782,153700,Ghost of Tsushima: Director's Cut,NULL,2021-08-20 00:00:00.000,7,3,93.7143,9,96.0621,29
182640,3126,Ultima Online,"During the earliest span of the age of darkness; found in the writings of only the most aged of manuscripts, lived a world born of mystic arts and ancient sorcery: Sosaria. Despite Sosaria's enchanted origins, it's people shunned magic, for it's very use corrupted the souls of the unwary. But one man dared to awake the slumbering powers of Alchemy. Twisting the awesome power of the Gem of Immortality to his will, and binding all of Sosaria to his corruption: Mondain the Wizard. His power was absolute, as the whole of the planet was gripped in his cruel embrace. Only the appearance of a stranger saved Sosaria from impending destruction. From whence he came, no one knows; but his strength and his courage were without peer. In this stranger, lied Sosaria's only hope; Only a traveler from the stars could release this world from Mondain's vile stranglehold. He would prove himself a savior; shattering the Gem of Immortality, and defeating Mondain. But... A deeper and more sinister evil was released with the destruction of the Gem; For Sosaria was not free of the stone's power. The planet was still bound to the Jewel's magic, even as it laid shattered on the floor of Mondain's Castle. For within each shattered remnant of the jewel, dwelled a perfect likeness of Sosaria... Thus is the world in which you are born, live, and die. Britannia, that was once Sosaria, now exists as a thousand worlds; each with it's own peoples, history and destiny. This Britannia is but one of many, in the multiverse that is: Ultima Online.",1997-09-24 00:00:00.000,7,NULL,67.0000,1,96.0550,31
192408,2985,Persona 4 Golden,NULL,2012-06-15 00:00:00.000,109,1,93.8750,12,96.0542,306
195301,119133,Elden Ring,NULL,2022-02-25 00:00:00.000,102,96,96.9000,14,96.0273,270
160150,39602,Melty Blood Act Cadenza,NULL,2005-03-25 00:00:00.000,NULL,NULL,NULL,NULL,96.0000,5
162083,38387,Super Bomberman 5,NULL,1997-02-28 00:00:00.000,NULL,NULL,NULL,NULL,95.9895,10
28142,3568,Ogre Battle 64: Person of Lordly Caliber,NULL,1999-07-14 00:00:00.000,3,NULL,NULL,NULL,95.9438,12
83019,41829,The Legend of Zelda: Breath of the Wild - Expansion Pass,NULL,2017-03-03 00:00:00.000,4,NULL,NULL,NULL,95.8897,13
188512,1046,Star Control II,NULL,1992-11-17 00:00:00.000,2,NULL,NULL,NULL,95.8729,11
153923,142289,Two Hours One Life,NULL,2018-03-14 00:00:00.000,5,NULL,NULL,NULL,95.8621,7
191810,109287,Hollow Knight: Voidheart Edition,NULL,2018-09-25 00:00:00.000,10,2,NULL,NULL,95.6455,59
159022,99821,Metal Gear Solid 3: Snake Eater HD Edition,NULL,2011-11-08 00:00:00.000,5,NULL,NULL,NULL,95.6359,25
52238,196770,Sunflower Land,"A war is brewing in Sunflower Town and it's time to pick sides. Are you Team Sunflower or Team Goblin.

Pick up your trusty shovel and start harvesting your Sunflowers, Gathering your Resources, Raising your animals and Crafting the NFTs that you need to thrive in this hit Web3 Farming Simulator.",2022-04-15 00:00:00.000,62,1,NULL,NULL,95.6281,81
195708,9143,Guilty Gear X2 #Reload,NULL,2003-03-26 00:00:00.000,4,NULL,60.0000,2,95.6120,21
162459,76244,The Great Ace Attorney: Adventures,"Set in the late 19th century during Japan's Meiji Period and Britain's Victorian era, the game tells the story of an ancestor of Phoenix Wright, Ryunosuke Naruhodo, who works to sleuth out the truth in witnesses’ testimonies and clear his clients’ names in court alongside a cast of characters - including local ace detective Herlock Sholmes.",2015-07-09 00:00:00.000,8,NULL,NULL,NULL,95.5919,17
41923,77378,Super Mario All-Stars + Super Mario World,NULL,1994-12-01 00:00:00.000,4,NULL,NULL,NULL,95.5350,15
114426,796,MVP Baseball 2005,NULL,2005-02-22 00:00:00.000,6,NULL,88.2500,4,95.5047,14
174372,9262,The Incredible Machine 2,NULL,1994-12-31 00:00:00.000,9,NULL,NULL,NULL,95.4791,17
195907,89594,Monster Sanctuary,NULL,2020-12-07 00:00:00.000,1,1,85.0000,1,95.3215,15
100662,113119,The Stanley Parable: Ultra Deluxe,"When a simple-minded individual named Stanley discovers that the co-workers in his office have mysteriously vanished, he sets off to find answers.

You will play as Stanley, and you will not play as Stanley. You will make a choice, and you will have your choices taken from you. The game will end, the game will never end. Contradiction follows contradiction, the rules of how games should work are broken, then broken again. You are not here to win. The Stanley Parable is a game that plays you.

In The Stanley Parable: Ultra Deluxe, everything you remember has been recreated, yet it's different somehow. We've been here before, haven't we? Is Stanley still the same as he was back then? Or is it you who has changed?",2022-04-27 00:00:00.000,6,3,82.6667,3,95.2033,37
194583,94873,Sonic Mania Plus,NULL,2018-07-17 00:00:00.000,7,NULL,86.7778,9,95.1893,37
164933,23701,A Tale in the Desert,NULL,2003-02-15 00:00:00.000,5,NULL,80.0000,1,95.1515,8
60943,28323,Mega Man Legacy Collection 2,NULL,2017-08-08 00:00:00.000,7,NULL,71.4000,11,95.1046,10
92960,98077,Grand Theft Auto V: Premium Online Edition,NULL,2018-04-20 00:00:00.000,18,NULL,NULL,NULL,95.0659,29
62634,77199,Oblivion,NULL,NULL,NULL,NULL,NULL,NULL,95.0000,0
73222,83535,Neonwall,NULL,2018-03-15 00:00:00.000,NULL,NULL,73.0000,1,95.0000,0
121179,141828,Caves (Roguelike),NULL,2015-11-14 00:00:00.000,2,2,NULL,NULL,95.0000,6
148159,21121,Dokapon Journey,NULL,2008-07-31 00:00:00.000,1,NULL,65.0000,3,95.0000,1
179376,83876,Titanfall: Deluxe Edition,NULL,2014-12-31 00:00:00.000,NULL,NULL,NULL,NULL,95.0000,4
191612,139399,Ragnarock,"Lead your viking ship to victory in this VR rhythm game! Pound your drums to the sound of epic music, from celtic rock to viking power metal, and set sail against your rivals in multiplayer mode. Will you outrace them all and carve your name on top of the leaderboard?

Are you ready to rock? Ragnarock is a solo/multiplayer VR rhythm game in which you play a viking captain competing in a ship race. With your two hammers, crush the incoming runes in sync with epic viking music. Keep hitting the runes perfectly to accumulate combo energy in your hammers, and you will be able to activate a speed boost!

Viking music: The tracklist is curated with love and care and will be regularly updated. Unleash the drummer in you and play to the epic rock and metal tracks of Alestorm, Gloryhammer, Wind Rose and many more. All have a festive viking/celtic/pirate style, which will make you feel the viking power in you!

Simple gameplay: Following the tradition of arcade games, Ragnarock is easy to play, hard to master. To move forward, only your sense of rhythm matters. However, to win the race, you will have to train and use your skills wisely. Multiple difficulty settings will help you improve over time. Only the most experienced players will be able to collect all gold medals, beat the high scores and sign their name on the leaderboard!

Multiplayer mode: The multiplayer PvP mode brings real-time competition against your friends or other people. Start a public or private game (up to 6 players) and beat them all to finish in first place! In solo, you can also race against a ghost ship (representing your best score) to add some competition.

Mythological environments: Ragnarock transports you to the land of the vikings in a stylized environment inspired by nordic mythology.

Support for custom songs: Want to play a track from your personal music library? You can create a custom playable song from any song you own, and play it in solo mode.",2021-07-15 00:00:00.000,4,5,80.0000,2,95.0000,6
145936,8773,Homeworld: Remastered Collection,NULL,2015-02-25 00:00:00.000,37,2,87.5000,5,94.9759,53
143677,13350,Auf Wiedersehen Monty,NULL,1987-12-31 00:00:00.000,1,NULL,NULL,NULL,94.9426,5
65941,8750,N++,NULL,2015-07-28 00:00:00.000,7,NULL,82.8000,11,94.9279,21
68523,37138,Sengoku Rance,"In the far east nation of JAPAN, a plethora of feudal lords are fighting for supremacy in the 4th Sengoku Era. After doing immeasurable damage on the Continent, the brute known as Rance traveled with his slave, Sill, to the island country.

For a hot spring vacation, you ask? Wrong. While they'll go to some hot springs, Rance's goal is to bang all of JAPAN's beautiful princesses, samurai, miko, ninjas, village girls, and more. In particular, he wants Kouhime of the prominent Oda Clan.

When Rance becomes the ruler of one of the feudal states, he charges head first toward uniting JAPAN!",2006-12-15 00:00:00.000,3,NULL,NULL,NULL,94.9048,20
49427,116146,Seven: Enhanced Edition,"If there’s one place that Master Thief Teriel avoids at all costs, it’s the prison island of Peh. But when a daring heist takes an unexpected turn, Teriel finds himself shackled on an airship bound for the infamous island. To make matters worse, the daemon inside his head makes it very clear that the thief will never leave unless he does exactly what he’s told.",2019-03-26 00:00:00.000,2,2,NULL,NULL,94.8757,8
181460,25513,Pilot Brothers,NULL,1997-09-22 00:00:00.000,1,NULL,NULL,NULL,94.8248,8
26788,178283,NFUT Cards,"NFUT Cards is a PVP football game with blockchain technology and NFTs collections as game assets where player can play and earn tokens through gameplay and contribute in NFUT ecosystem through the token $NFUT.
All game assets will be stored on Binance Smart Chain, it will be BEP-20, BEP-721.

The project and game will be run entirely by the community through governance explained later in this document. This project is made by and for the people, we will guide the NFUT universe always keeping in mind our motto: You choose, we create.

Our goal is to fight against the injustice of this world creating a long-term project with a revolutionary video game, where anyone around the globe can, firstly, have fun and, secondly, earn money, something unthinkable a few years ago.

By playing NFUT you are not just playing a video game, you are fighting for freedom, independence and decentralised power, where we are all one.

In contrast to other projects in this game the importance of player skill will be key, the amount of money you generate will be directly proportional to your ability.

NFUT wants to make a difference from others creating a community that is led by the players themselves, who will ultimately own the NFUT ecosystem by having governance and decision-making power in a fully democratised environment.

As if it were a social network, we will offer different tools to shape the growth of the platform, such as user chats, searches, live broadcasts and online tournaments.

NFUT game can be played on any device, it will be build entirely with HTML 5, Javascript and other technology and could be accessible on any web browser. It will be necessary to have an internet connection to play.",2021-01-01 00:00:00.000,18,NULL,NULL,NULL,94.7826,23
13497,1942,The Witcher 3: Wild Hunt,"The Witcher 3: Wild Hunt concludes the story of the witcher Geralt of Rivia, the series' protagonist, whose story to date has been covered in the previous installments. Geralt's new mission comes in dark times as the mysterious and otherworldly army known as the Wild Hunt invades the Northern Kingdoms, leaving only blood soaked earth and fiery ruin in its wake; and it seems the Witcher is the key to stopping their cataclysmic rampage.",2015-05-19 00:00:00.000,1526,179,91.7200,26,94.6916,3206
151454,27857,Assassin's Creed II: Deluxe Edition,NULL,2010-03-05 00:00:00.000,3,NULL,NULL,NULL,94.6388,16
